               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.029947,             0.13932,                   0,             0.99719,             0.99644,             0.99499,             0.93757,            0.026629,            0.089149,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.03012,             0.14046,                   0,             0.99703,             0.99694,             0.99499,             0.94872,            0.026322,            0.083884,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.029707,             0.13633,                   0,             0.99715,             0.99738,             0.99499,             0.94778,            0.025167,            0.082996,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.030109,              0.1392,                   0,             0.99687,             0.99738,             0.99499,             0.94295,             0.02551,            0.086199,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02937,             0.13698,                   0,             0.99777,             0.99527,               0.995,             0.93775,             0.02581,            0.087418,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.029442,             0.13823,                   0,             0.99738,             0.99627,               0.995,             0.94925,            0.026079,            0.085008,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.029143,             0.13487,                   0,             0.99708,             0.99731,             0.99499,             0.94937,            0.025255,            0.082777,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.029006,             0.13406,                   0,             0.99778,             0.99577,               0.995,             0.95415,            0.024603,            0.078866,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.029325,             0.13411,                   0,             0.99709,             0.99684,             0.99499,             0.95609,            0.024603,            0.078508,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.028971,             0.13273,                   0,             0.99724,             0.99589,             0.99499,             0.95145,            0.024804,            0.079722,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.02838,              0.1304,                   0,             0.99783,             0.99586,               0.995,             0.95631,            0.024618,            0.079328,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.028512,             0.12811,                   0,              0.9968,             0.99673,             0.99498,             0.95263,            0.024492,            0.077331,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.028582,             0.12933,                   0,             0.99769,              0.9963,               0.995,             0.95575,            0.024774,            0.078923,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02836,             0.13003,                   0,             0.99764,             0.99675,               0.995,              0.9561,            0.024314,            0.075967,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028249,             0.12739,                   0,             0.99749,             0.99633,             0.99499,             0.95715,            0.024413,            0.076513,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.028614,             0.12969,                   0,             0.99779,             0.99605,             0.99499,              0.9558,            0.024458,            0.077227,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.028099,              0.1276,                   0,             0.99765,             0.99574,             0.99499,             0.96365,            0.024021,            0.073746,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02804,             0.12639,                   0,             0.99803,              0.9957,               0.995,             0.96068,            0.024651,            0.075322,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.027983,             0.12644,                   0,             0.99784,             0.99633,               0.995,             0.96242,            0.024043,            0.073204,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.02771,             0.12531,                   0,             0.99745,             0.99633,             0.99499,             0.95794,            0.024217,              0.0747,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.027183,             0.12164,                   0,             0.99828,             0.99616,               0.995,             0.96034,            0.024686,            0.075201,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.0274,             0.12182,                   0,             0.99747,             0.99588,             0.99499,             0.95758,            0.024296,            0.075042,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.027031,             0.12057,                   0,             0.99805,               0.996,             0.99499,             0.96152,            0.023878,             0.07226,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.027131,             0.12017,                   0,             0.99783,             0.99649,               0.995,             0.96313,            0.023771,            0.071507,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.027081,             0.11741,                   0,             0.99787,             0.99738,             0.99499,             0.96391,            0.023852,            0.071565,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.027191,             0.11961,                   0,             0.99803,             0.99599,               0.995,             0.96634,            0.023693,            0.069827,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.026694,             0.11634,                   0,             0.99798,              0.9963,               0.995,             0.96485,            0.023677,            0.070605,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.026871,             0.11838,                   0,             0.99819,             0.99614,               0.995,             0.96667,            0.024089,            0.070473,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.026406,              0.1138,                   0,             0.99759,             0.99644,             0.99499,             0.96478,            0.023529,            0.069294,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.026618,             0.11696,                   0,             0.99812,             0.99609,               0.995,              0.9686,            0.023572,            0.069472,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.026476,             0.11612,                   0,             0.99799,             0.99636,             0.99499,             0.96915,            0.023332,            0.068033,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.026464,             0.11676,                   0,             0.99794,             0.99617,             0.99499,             0.96561,            0.023818,            0.071117,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026129,             0.11286,                   0,             0.99773,             0.99637,             0.99499,             0.96795,            0.023466,            0.068309,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026444,             0.11576,                   0,             0.99771,             0.99658,             0.99499,             0.96979,            0.023355,            0.068203,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.026023,             0.11257,                   0,              0.9979,             0.99703,             0.99499,             0.96971,            0.023384,            0.068014,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.026298,             0.11285,                   0,              0.9978,             0.99694,             0.99499,             0.96854,              0.0236,            0.068952,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.025997,             0.11271,                   0,             0.99775,             0.99725,             0.99499,             0.97191,            0.023285,            0.066145,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025776,             0.11133,                   0,             0.99834,             0.99677,               0.995,             0.97117,            0.023359,            0.066944,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.025909,             0.10998,                   0,             0.99817,             0.99677,             0.99499,             0.97135,            0.023274,            0.066362,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.025651,             0.10979,                   0,             0.99824,             0.99623,               0.995,             0.97055,            0.023583,            0.067086,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.025393,             0.10898,                   0,             0.99794,              0.9971,             0.99499,             0.97252,            0.023307,            0.066483,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.025953,             0.11111,                   0,             0.99806,             0.99648,             0.99499,             0.97017,            0.023497,            0.067414,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.025255,             0.10798,                   0,             0.99812,             0.99623,               0.995,             0.97324,            0.023093,            0.065477,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.025083,              0.1066,                   0,             0.99803,             0.99636,               0.995,             0.97442,            0.022996,            0.064563,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.025636,             0.10972,                   0,             0.99803,             0.99661,             0.99499,             0.97362,            0.023128,            0.065068,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.025365,              0.1099,                   0,             0.99785,             0.99698,             0.99499,             0.97359,            0.023107,            0.064871,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.025274,             0.10837,                   0,             0.99802,             0.99647,             0.99499,             0.97374,            0.023094,            0.064395,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.025369,             0.10771,                   0,             0.99839,             0.99628,               0.995,             0.97323,            0.023163,             0.06502,                   0,            0.000298,            0.000298,            0.000298
